               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.064022,            0.027291,                   0,             0.51982,             0.69565,             0.58519,             0.17744,            0.061907,            0.026524,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.057593,            0.027346,                   0,              0.4425,             0.75346,              0.5164,             0.20398,            0.066041,            0.028418,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.057036,            0.026561,                   0,             0.70888,             0.76812,             0.72504,             0.21581,            0.058851,            0.026302,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.059944,            0.024316,                   0,             0.77766,              0.7971,             0.85857,             0.39391,            0.063246,            0.026167,                   0,             0.00604,             0.00604,             0.00604
                  42,             0.05539,            0.030191,                   0,             0.59531,             0.68222,             0.63944,             0.16825,            0.062362,            0.030786,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.058837,            0.026458,                   0,             0.55521,             0.84783,             0.65177,             0.27337,            0.051399,             0.02568,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.054032,             0.02605,                   0,             0.31871,             0.74917,              0.3254,             0.10802,            0.061306,             0.02867,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.054158,            0.025919,                   0,             0.52394,             0.71014,             0.67626,             0.26701,            0.055021,            0.024123,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.051036,            0.027641,                   0,             0.43367,             0.76812,             0.51257,             0.19201,            0.060088,            0.027207,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.055415,             0.02408,                   0,             0.68068,             0.81884,             0.79134,             0.32589,            0.052053,            0.024435,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.052055,            0.024109,                   0,             0.56801,             0.84058,             0.68876,             0.29074,            0.057667,            0.026065,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.052305,            0.027411,                   0,             0.69539,              0.8933,              0.8375,              0.3363,            0.048456,            0.025966,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.046406,            0.026234,                   0,             0.68676,             0.81884,             0.83462,             0.40205,            0.058078,            0.024973,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.054034,            0.024892,                   0,             0.86986,             0.92025,             0.92105,             0.34588,            0.054445,            0.024501,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.050705,             0.02753,                   0,             0.81691,             0.90527,             0.90498,             0.43486,            0.051168,            0.024057,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.054448,             0.02495,                   0,             0.77102,             0.84783,             0.80812,              0.2328,            0.054866,            0.024697,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.048517,             0.02454,                   0,             0.68985,             0.87034,             0.80884,             0.38663,            0.047526,            0.023469,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.051005,            0.026165,                   0,             0.83499,              0.9167,             0.90463,             0.32355,             0.05185,            0.023708,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.043687,            0.026503,                   0,             0.53249,             0.92029,             0.63602,             0.29229,            0.050535,             0.02412,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.048208,            0.025218,                   0,             0.85135,             0.91304,             0.90102,             0.32711,            0.047889,            0.023508,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.042693,            0.025408,                   0,             0.62153,             0.88406,             0.71224,             0.32556,             0.04908,            0.023376,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.047867,            0.024032,                   0,             0.90737,             0.92277,             0.92314,             0.38141,            0.047284,            0.023216,                   0,            0.004258,            0.004258,            0.004258
                  60,              0.0448,            0.025032,                   0,              0.7051,              0.8913,             0.83833,             0.39322,            0.047466,            0.023264,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.045547,            0.026081,                   0,             0.85175,             0.87429,             0.87412,             0.33146,            0.047055,            0.023347,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.042795,            0.025768,                   0,             0.84087,             0.92029,             0.93127,             0.46284,            0.042566,            0.022914,                   0,            0.003961,            0.003961,            0.003961
                  63,             0.04614,             0.02489,                   0,             0.91859,             0.89936,             0.91471,             0.37074,            0.050138,            0.023228,                   0,            0.003862,            0.003862,            0.003862
                  64,             0.04412,            0.022756,                   0,             0.87274,              0.9442,             0.95373,             0.46489,            0.040963,            0.022889,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.042489,            0.024896,                   0,             0.93269,             0.92029,             0.93832,             0.39816,            0.051293,            0.023526,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.041853,            0.026578,                   0,             0.87437,             0.94203,             0.94646,             0.44955,            0.039503,            0.022872,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.041204,             0.02523,                   0,             0.94776,             0.92034,             0.95115,             0.41411,            0.047728,            0.023133,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.040469,            0.022661,                   0,             0.89685,             0.94203,             0.96118,             0.47224,            0.042596,            0.022775,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.042482,            0.023761,                   0,             0.94758,             0.91688,             0.94074,             0.41529,            0.044507,            0.022927,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.040019,            0.023182,                   0,             0.84949,             0.94065,             0.92629,             0.45124,            0.041987,            0.022636,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.041935,            0.026077,                   0,             0.94793,             0.93478,             0.95099,             0.39068,             0.04674,            0.022615,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.039863,            0.023715,                   0,             0.97744,             0.94191,             0.97592,             0.51448,            0.039749,            0.021778,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.039768,            0.024072,                   0,             0.94763,             0.94203,             0.95991,             0.41508,            0.046992,            0.022762,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.038629,            0.022302,                   0,             0.96262,             0.95652,             0.97491,             0.52829,            0.037783,            0.021868,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.038289,            0.026237,                   0,             0.94851,             0.93445,             0.94877,             0.41324,            0.043464,            0.022984,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.038413,            0.025843,                   0,             0.94987,             0.96107,             0.98087,             0.51193,            0.041448,            0.021847,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.037537,            0.021845,                   0,             0.96514,             0.96377,             0.97626,             0.45169,            0.041725,            0.022456,                   0,            0.002476,            0.002476,            0.002476
                  78,             0.03683,            0.021488,                   0,             0.95694,             0.96622,             0.98213,             0.51722,            0.038681,            0.021871,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.038879,            0.023686,                   0,             0.95474,             0.96377,             0.96954,              0.4623,            0.041906,            0.022573,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.035803,            0.023432,                   0,             0.95688,             0.97101,             0.98234,             0.53129,             0.03613,             0.02183,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.036162,            0.021079,                   0,             0.94767,             0.96377,             0.97004,             0.47977,            0.039782,            0.022326,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.035463,            0.022281,                   0,             0.95476,             0.97101,             0.97624,             0.53052,             0.03923,            0.021862,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.037361,             0.02362,                   0,              0.9457,             0.96377,             0.96987,             0.45822,            0.040806,            0.022243,                   0,            0.001882,            0.001882,            0.001882
                  84,             0.03271,            0.023091,                   0,             0.95914,             0.97101,             0.97613,             0.52562,            0.037501,            0.021811,                   0,            0.001783,            0.001783,            0.001783
